323	ROSIE	0.06%	178,584
324	JOANNA	0.06%	178,584
325	IRIS	0.06%	178,584
326	EUNICE	0.05%	175,337
327	ANGIE	0.05%	175,337
328	INEZ	0.05%	172,090
329	LYNDA	0.05%	172,090
330	MADELINE	0.05%	168,843
331	AMELIA	0.05%	168,843
332	ALBERTA	0.05%	168,843
333	GENEVIEVE	0.05%	165,596
334	MONIQUE	0.05%	165,596
335	JODI	0.05%	165,596
336	JANIE	0.05%	165,596
337	MAGGIE	0.05%	165,596
338	KAYLA	0.05%	165,596
339	SONYA	0.05%	165,596
340	JAN	0.05%	165,596
341	LEE	0.05%	165,596
342	KRISTINE	0.05%	165,596
343	CANDACE	0.05%	165,596
344	FANNIE	0.05%	162,349
345	MARYANN	0.05%	162,349
346	OPAL	0.05%	162,349
347	ALISON	0.05%	162,349
348	YVETTE	0.05%	162,349
349	MELODY	0.05%	162,349
350	LUZ	0.05%	159,102
351	SUSIE	0.05%	159,102
352	OLIVIA	0.05%	159,102
353	FLORA	0.05%	159,102
354	SHELLEY	0.05%	159,102
355	KRISTY	0.05%	155,855
356	MAMIE	0.05%	155,855
357	LULA	0.05%	155,855
358	LOLA	0.05%	155,855
359	VERNA	0.05%	155,855
360	BEULAH	0.05%	155,855
361	ANTOINETTE	0.05%	155,855
362	CANDICE	0.05%	149,361
363	JUANA	0.05%	149,361
364	JEANNETTE	0.05%	149,361
365	PAM	0.05%	149,361
366	KELLI	0.05%	149,361
367	HANNAH	0.05%	146,114
368	WHITNEY	0.05%	146,114
369	BRIDGET	0.05%	146,114
370	KARLA	0.04%	142,867
371	CELIA	0.04%	142,867
372	LATOYA	0.04%	139,620
373	PATTY	0.04%	139,620
374	SHELIA	0.04%	139,620
375	GAYLE	0.04%	139,620
376	DELLA	0.04%	139,620
377	VICKY	0.04%	139,620
378	LYNNE	0.04%	139,620
379	SHERI	0.04%	136,373
380	MARIANNE	0.04%	136,373
381	KARA	0.04%	133,126
382	JACQUELYN	0.04%	133,126
383	ERMA	0.04%	133,126
384	BLANCA	0.04%	133,126
385	MYRA	0.04%	129,879
386	LETICIA	0.04%	129,879
387	PAT	0.04%	129,879
388	KRISTA	0.04%	129,879
389	ROXANNE	0.04%	129,879
390	ANGELICA	0.04%	126,632
391	JOHNNIE	0.04%	126,632
392	ROBYN	0.04%	126,632
393	FRANCIS	0.04%	126,632
394	ADRIENNE	0.04%	126,632
395	ROSALIE	0.04%	126,632
396	ALEXANDRA	0.04%	126,632
397	BROOKE	0.04%	126,632
398	BETHANY	0.04%	126,632
399	SADIE	0.04%	126,632
400	BERNADETTE	0.04%	126,632
401	TRACI	0.04%	123,385
402	JODY	0.04%	123,385
403	KENDRA	0.04%	123,385
404	JASMINE	0.04%	123,385
405	NICHOLE	0.04%	123,385
406	RACHAEL	0.04%	123,385
407	CHELSEA	0.04%	123,385
408	MABLE	0.04%	123,385
409	ERNESTINE	0.04%	123,385
410	MURIEL	0.04%	123,385
411	MARCELLA	0.04%	120,138
412	ELENA	0.04%	120,138
413	KRYSTAL	0.04%	120,138
414	ANGELINA	0.04%	120,138
415	NADINE	0.04%	116,891
416	KARI	0.04%	116,891
417	ESTELLE	0.04%	116,891
418	DIANNA	0.04%	116,891
419	PAULETTE	0.04%	116,891
420	LORA	0.04%	116,891
421	MONA	0.04%	113,644
422	DOREEN	0.04%	113,644
423	ROSEMARIE	0.04%	113,644
424	ANGEL	0.04%	113,644
425	DESIREE	0.04%	113,644
426	ANTONIA	0.04%	113,644
427	HOPE	0.03%	110,397
428	GINGER	0.03%	110,397
429	JANIS	0.03%	110,397
430	BETSY	0.03%	110,397
431	CHRISTIE	0.03%	110,397
432	FREDA	0.03%	110,397
433	MERCEDES	0.03%	107,150
434	MEREDITH	0.03%	107,150
435	LYNETTE	0.03%	107,150
436	TERI	0.03%	107,150
437	CRISTINA	0.03%	107,150
438	EULA	0.03%	107,150
439	LEIGH	0.03%	103,903
440	MEGHAN	0.03%	103,903
441	SOPHIA	0.03%	103,903
442	ELOISE	0.03%	103,903
443	ROCHELLE	0.03%	103,903
444	GRETCHEN	0.03%	103,903
445	CECELIA	0.03%	103,903
446	RAQUEL	0.03%	100,656
447	HENRIETTA	0.03%	100,656
448	ALYSSA	0.03%	100,656
449	JANA	0.03%	100,656
450	KELLEY	0.03%	100,656
451	GWEN	0.03%	100,656
452	KERRY	0.03%	100,656
453	JENNA	0.03%	97,409
454	TRICIA	0.03%	97,409
455	LAVERNE	0.03%	97,409
456	OLIVE	0.03%	97,409
457	ALEXIS	0.03%	97,409
